gameID,game_datetime,blackID,blackELO,redID,redELO,winner
57380978,2017-02-10 13:29:32,cotuongbg,1437,hhl1,1501,red
57380979,2017-02-10 13:18:50,hmcc123,1392,snp6367g,1552,black
57380980,2017-02-10 13:25:47,ducbinh,1490,mmf5953g,1199,black
57380981,2017-02-10 13:14:45,cnd7267g,954,kgt7599g,1198,black
57380982,2017-02-10 13:31:09,thquoc,1032,fwm7507,963,black
57380983,2017-02-10 13:27:08,phidao,1481,wpw9491g,1218,black
57380984,2017-02-10 13:13:48,cotuongvuivu,1445,tcc5591g,1244,red
57380985,2017-02-10 13:30:10,vuilennao66,1352,trang233,1407,black
57380986,2017-02-10 13:29:59,knp6385g,1200,nghuuthieu,1480,black
57380987,2017-02-10 13:25:47,nsm7800g,1102,thanhbinhdt54,1517,red
57380988,2017-02-10 13:19:06,gmd506g,1400,vuanhtam83,1447,black
57380989,2017-02-10 13:29:33,bwb2037g,1275,dimarr,1249,red
57380990,2017-02-10 13:30:01,stephenlee,915,peterlaw1,1428,red
57380991,2017-02-10 13:24:51,bfp5963g,1258,cwt9083g,1251,black
57380992,2017-02-10 13:24:25,akcz,1264,bpd810,1165,black
57380993,2017-02-10 13:29:40,ngoctrinh6969,1164,12khwan,1600,red
57380994,2017-02-10 13:28:56,vinawind,1639,chess101,1639,black
57380995,2017-02-10 13:21:38,cdw7451g,1211,2327,1183,red
57380996,2017-02-10 13:25:43,knb9900g,1343,kgn6705g,1410,black
57380997,2017-02-10 13:08:52,kfb814g,1462,gwk6107g,1465,red
57380998,2017-02-10 13:29:30,tmb1985,934,kmn6559g,1039,black
57380999,2017-02-10 13:31:40,derkaiser,1311,qwert138,1232,red
57381000,2017-02-10 13:23:07,wtc215g,1036,nguyenlong490,1188,red
57381001,2017-02-10 13:16:38,dgt9236g,1328,wkc4916g,1419,red
57381002,2017-02-10 13:28:34,ngodangha62,1042,trang2009,1442,red
57381003,2017-02-10 13:28:05,kfd2623g,1197,ankhanh42dcvn,1418,red
57381004,2017-02-10 13:23:20,wqt6268d,1171,vanthanhktv2,1227,red
57381005,2017-02-10 13:31:36,ckk7751g,1211,thanhvp12,1421,red
57381006,2017-02-10 13:25:50,kbn4133g,1246,caotayan,1484,red
57381007,2017-02-10 13:21:14,spp5906g,1261,acumen,1220,red
57381008,2017-02-10 13:24:36,ktw3307,1275,skm3308g,1163,red
57381009,2017-02-10 13:28:51,pfc9889g,1005,hieutnmtninh0,1272,black
57381010,2017-02-10 13:30:22,quoctoando788,1485,mrchan,1593,red
57381011,2017-02-10 13:22:11,skp6877g,1229,tng6829g,1313,black
57381012,2017-02-10 13:34:04,kgt7599g,1172,cnd7267g,980,red
57381013,2017-02-10 13:23:28,edua541,1345,sdc6126g,1226,tie
57381014,2017-02-10 13:21:05,cnw6754g,1200,jwfs007,1004,black
57381015,2017-02-10 13:29:29,mcb3465g,1601,ncg5382g,1432,black
57381016,2017-02-10 13:30:14,tts1421g,1200,btk6173g,1190,red
57381017,2017-02-10 13:22:29,liemhue,1180,ngokhanhancr,1219,black
57381018,2017-02-10 13:21:38,vandanhxuyen,1262,canono,1641,red
57381019,2017-02-10 13:29:59,hungtin81,1159,sdj6734g,1172,black
57381020,2017-02-10 13:31:52,mpn6774g,1429,traonvinhlong,1306,black
57381021,2017-02-10 13:02:13,quangmc,1432,ndw4316g,1126,black
57381022,2017-02-10 13:31:36,ngoanvuba,1034,msp2744g,1114,red
57381023,2017-02-10 13:29:25,sbc9351g,1260,paulcps,1657,red
57381024,2017-02-10 13:30:20,cflin844,1235,trungtg,1431,red
57381025,2017-02-10 13:31:10,sapcodiban,1180,a8888,1315,red
57381026,2017-02-10 13:29:04,camtu2003,1342,phaoma,1320,black
57381027,2017-02-10 13:26:04,wmm1838g,973,pgg200g,1045,black
57381028,2017-02-10 13:22:50,lonelyhorse,1237,tft8464g,1095,black
57381029,2017-02-10 13:24:51,anhbay123,1168,gnw455g,1328,black
57381030,2017-02-10 13:18:34,tbn5941g,925,skw3944g,1193,black
57381031,2017-02-10 13:28:25,uniqlo,1560,wdb6768g,1427,black
57381032,2017-02-10 13:26:43,gcf4492g,1421,gtd409g,1457,red
57381033,2017-02-10 13:25:10,csw3776g,1145,nbc9304g,1149,red
57381034,2017-02-10 13:21:08,fwn3415g,1261,fmd203g,1321,red
57381035,2017-02-10 13:21:27,giampc,1328,gmg3340,1119,black
57381036,2017-02-10 13:25:51,duongvx,1336,trungthoithuy,1247,black
57381037,2017-02-10 13:25:30,tamsu05,1353,tranhieu1999,1445,black
57381038,2017-02-10 13:30:19,sieucaothuvn,1351,oakwood28,1292,red
57381039,2017-02-10 13:20:21,bleble104,1128,kng5343g,1410,black
57381040,2017-02-10 13:18:54,mientayquetoi,1434,bss6582g,1139,black
57381041,2017-02-10 13:18:33,dgc6184g,1165,wkf8599g,1022,red
57381042,2017-02-10 13:26:32,sdn7953g,1118,fwt9933g,1106,black
57381043,2017-02-10 13:27:58,bfd6615g,1393,nbs5138g,1200,red
57381044,2017-02-10 13:16:51,dinhvanson,1479,cute9999,1415,black
57381045,2017-02-10 13:24:44,lehoa07,1231,atoan1234z,977,black
57381046,2017-02-10 13:32:01,quangle,1272,luyentruong88,1171,red
57381047,2017-02-10 13:30:21,stp9778g,1423,cpm3799g,1037,black
57381048,2017-02-10 13:23:14,ggm7965g,1146,ttn7542g,1253,red
57381049,2017-02-10 13:16:57,vuivedi,1170,anhnguyenvan,750,black
57381050,2017-02-10 13:33:00,gst1707g,1470,cothanhhoaban,1288,black
57381051,2017-02-10 13:17:48,dkc6716g,1111,fms4944g,1288,red
57381052,2017-02-10 13:30:04,sdw886,1238,btd9554g,1060,black
57381053,2017-02-10 13:32:24,son14,1397,cwk5175g,1469,red
57381054,2017-02-10 13:23:03,bnw8507g,1200,gcs9968g,1208,red
57381055,2017-02-10 13:17:15,ggs6892g,1178,dnk7555g,1236,tie
57381056,2017-02-10 13:27:55,quangdien1234,1415,nsp7860g,1120,black
57381057,2017-02-10 13:29:49,0000vt,1447,danhcovui15,1497,red
57381058,2017-02-10 13:26:24,wsp5598g,1106,cothua,1052,black
57381059,2017-02-10 13:23:41,haicho,1232,ngloc,1145,black
